"","ParID","RISK","mean"
"1",1,-110,0.450980392156863
"2",2,-110,0.215686274509804
"3",3,-110,0.176470588235294
"4",4,-110,0.607843137254902
"5",5,-110,0.725490196078431
"6",6,-110,0.980392156862745
"7",7,-110,0.862745098039216
"8",8,-110,0.450980392156863
"9",9,-110,0.705882352941177
"10",10,-110,0.294117647058824
"11",11,-110,0.627450980392157
"12",12,-110,0.784313725490196
"13",13,-110,0.745098039215686
"14",14,-110,0.823529411764706
"15",15,-110,0.901960784313726
"16",16,-110,0.392156862745098
"17",17,-110,0.92156862745098
"18",18,-110,0.803921568627451
"19",19,-110,0.509803921568627
"20",20,-110,0.823529411764706
"21",21,-110,1
"22",22,-110,1
"23",23,-110,0.901960784313726
"24",24,-110,0.843137254901961
"25",25,-110,0.725490196078431
"26",26,-110,1
"27",27,-110,0.823529411764706
"28",28,-110,0.941176470588235
"29",29,-110,0.941176470588235
"30",30,-110,0.843137254901961
"31",31,-110,0.764705882352941
"32",32,-110,0.941176470588235
"33",33,-110,0.882352941176471
"34",34,-110,0.627450980392157
"35",35,-110,0.980392156862745
"36",36,-110,0.901960784313726
"37",37,-110,0.588235294117647
"38",38,-110,0.882352941176471
"39",39,-110,0.823529411764706
"40",40,-110,0.843137254901961
"41",41,-110,0.0196078431372549
